ine_id,distrito,municipio,freguesia
010103,Aveiro,Águeda,Aguada de Cima
010109,Aveiro,Águeda,Fermentelos
010112,Aveiro,Águeda,Macinhata do Vouga
010119,Aveiro,Águeda,Valongo do Vouga
010121,Aveiro,Águeda,União das freguesias de Águeda e Borralha
010122,Aveiro,Águeda,União das freguesias de Barrô e Aguada de Baixo
010123,Aveiro,Águeda,"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão"
010124,Aveiro,Águeda,União das freguesias de Recardães e Espinhel
010125,Aveiro,Águeda,União das freguesias de Travassô e Óis da Ribeira
010126,Aveiro,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga"
010127,Aveiro,Águeda,União das freguesias do Préstimo e Macieira de Alcoba
010202,Aveiro,Albergaria-a-Velha,Alquerubim
010203,Aveiro,Albergaria-a-Velha,Angeja
010204,Aveiro,Albergaria-a-Velha,Branca
010206,Aveiro,Albergaria-a-Velha,Ribeira de Fráguas
010209,Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior
010210,Aveiro,Albergaria-a-Velha,São João de Loure e Frossos
010304,Aveiro,Anadia,Avelãs de Caminho
010305,Aveiro,Anadia,Avelãs de Cima
010307,Aveiro,Anadia,Moita
010309,Aveiro,Anadia,Sangalhos
010310,Aveiro,Anadia,São Lourenço do Bairro
010312,Aveiro,Anadia,Vila Nova de Monsarros
010313,Aveiro,Anadia,Vilarinho do Bairro
010316,Aveiro,Anadia,"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas"
010317,Aveiro,Anadia,União das freguesias de Arcos e Mogofores
010318,Aveiro,Anadia,"União das freguesias de Tamengos, Aguim e Óis do Bairro"
010402,Aveiro,Arouca,Alvarenga
010407,Aveiro,Arouca,Chave
010409,Aveiro,Arouca,Escariz
010411,Aveiro,Arouca,Fermedo
010413,Aveiro,Arouca,Mansores
010414,Aveiro,Arouca,Moldes
010415,Aveiro,Arouca,Rossas
010416,Aveiro,Arouca,Santa Eulália
010417,Aveiro,Arouca,São Miguel do Mato
010418,Aveiro,Arouca,Tropeço
010419,Aveiro,Arouca,Urrô
010420,Aveiro,Arouca,Várzea
010421,Aveiro,Arouca,União das freguesias de Arouca e Burgo
010422,Aveiro,Arouca,União das freguesias de Cabreiros e Albergaria da Serra
010423,Aveiro,Arouca,União das freguesias de Canelas e Espiunca
010424,Aveiro,Arouca,União das freguesias de Covelo de Paivó e Janarde
010501,Aveiro,Aveiro,Aradas
010502,Aveiro,Aveiro,Cacia
010505,Aveiro,Aveiro,Esgueira
010508,Aveiro,Aveiro,Oliveirinha
010510,Aveiro,Aveiro,São Bernardo
010511,Aveiro,Aveiro,São Jacinto
010513,Aveiro,Aveiro,Santa Joana
010515,Aveiro,Aveiro,Eixo e Eirol
010516,Aveiro,Aveiro,"Requeixo, Nossa Senhora de Fátima e Nariz"
010517,Aveiro,Aveiro,União das freguesias de Glória e Vera Cruz
010602,Aveiro,Castelo de Paiva,Fornos
010606,Aveiro,Castelo de Paiva,Real
010607,Aveiro,Castelo de Paiva,Santa Maria de Sardoura
010608,Aveiro,Castelo de Paiva,São Martinho de Sardoura
010610,Aveiro,Castelo de Paiva,"União das freguesias de Raiva, Pedorido e Paraíso"
010611,Aveiro,Castelo de Paiva,União das freguesias de Sobrado e Bairros
010702,Aveiro,Espinho,Espinho
010704,Aveiro,Espinho,Paramos
010705,Aveiro,Espinho,Silvalde
010706,Aveiro,Espinho,União das freguesias de Anta e Guetim
010801,Aveiro,Estarreja,Avanca
010805,Aveiro,Estarreja,Pardilhó
010806,Aveiro,Estarreja,Salreu
010808,Aveiro,Estarreja,União das freguesias de Beduído e Veiros
010809,Aveiro,Estarreja,União das freguesias de Canelas e Fermelã
010901,Aveiro,Santa Maria da Feira,Argoncilhe
010902,Aveiro,Santa Maria da Feira,Arrifana
010904,Aveiro,Santa Maria da Feira,Escapães
010907,Aveiro,Santa Maria da Feira,Fiães
010908,Aveiro,Santa Maria da Feira,Fornos
010913,Aveiro,Santa Maria da Feira,Lourosa
010914,Aveiro,Santa Maria da Feira,Milheirós de Poiares
010916,Aveiro,Santa Maria da Feira,Mozelos
